"","locus","Ho","Hs","Ht","Dst","Htp","Dstp","Fst","Fstp","Fis","Dest","Bay"
"1","J42",0.8827,0.8633,0.8616,-0.0016,0.8612,-0.002,-0.0019,-0.0023,-0.0225,-0.0147,"ALL"
"2","WF22",0.9546,0.9661,0.9636,-0.0026,0.9629,-0.0032,-0.0027,-0.0033,0.0119,-0.0944,"ALL"
"3","PAM27",0.7746,0.8187,0.8181,-6e-04,0.818,-7e-04,-7e-04,-9e-04,0.0539,-0.0039,"ALL"
"4","PAM79",0.9634,0.9641,0.9617,-0.0023,0.9612,-0.0029,-0.0024,-0.003,7e-04,-0.0809,"ALL"
"5","WF16",0.8392,0.8394,0.8337,-0.0057,0.8322,-0.0071,-0.0068,-0.0086,2e-04,-0.0444,"ALL"
"6","WF33",0.9463,0.9589,0.9562,-0.0027,0.9555,-0.0034,-0.0029,-0.0036,0.0131,-0.0836,"ALL"
"7","WF3",0.778,0.7616,0.7612,-4e-04,0.7611,-5e-04,-5e-04,-6e-04,-0.0215,-0.0021,"ALL"
"8","WF517",0.9005,0.9537,0.9585,0.0047,0.9596,0.0059,0.0049,0.0062,0.0557,0.1281,"ALL"
"9","WF196",0.9384,0.9069,0.911,0.0041,0.912,0.0051,0.0045,0.0056,-0.0347,0.0545,"ALL"
"10","WF223",0.9336,0.9372,0.9402,0.003,0.9409,0.0038,0.0032,0.004,0.0039,0.0597,"ALL"
"11","WF421",0.9577,0.9082,0.9091,8e-04,0.9093,0.001,9e-04,0.0011,-0.0545,0.0113,"ALL"
"12","A441",0.9084,0.8693,0.8655,-0.0038,0.8645,-0.0048,-0.0044,-0.0055,-0.045,-0.0364,"ALL"
"13","PAM21",0.6928,0.7978,0.8057,0.0078,0.8076,0.0098,0.0097,0.0121,0.1316,0.0483,"ALL"
"14","PSY087",0.6547,0.531,0.5342,0.0032,0.535,0.004,0.006,0.0075,-0.233,0.0085,"ALL"
"15","PSY022",0.6654,0.5853,0.5863,0.001,0.5866,0.0013,0.0017,0.0022,-0.1368,0.0031,"ALL"
"16","WF12",0.594,0.5835,0.5796,-0.0039,0.5786,-0.0048,-0.0067,-0.0084,-0.0181,-0.0116,"ALL"
"17","WF32",0.7069,0.8588,0.8697,0.0109,0.8724,0.0136,0.0125,0.0156,0.177,0.0963,"ALL"
