"","strata.1","strata.2","mean.fst","sd.fst","mean.pval","sd.pval"
"1","Jam","Mor",0.00757643980162381,0,0.00999000999000999,0.00282560152322297
"2","Jam","Mt",0.00676065680195713,0.000112321712229538,0.00599400599400599,0.00282560152322297
"3","Jam","Nap",0.00355504829399947,0,0.0984015984015984,0.0105960057120861
"4","Jam","Shin",0.0103359135960669,0.00182789700404274,0.000999000999000999,0
"5","Mor","Mt",0.023849794034301,0.000392944649687106,0.000999000999000999,0
"6","Mor","Nap",0.00134876311236249,0,0.293206793206793,0.0162472087585321
"7","Mor","Shin",0.0242736855228366,0.00363610596807207,0.000999000999000999,0
"8","Mt","Nap",0.0227846283287247,3.78718954230538e-05,0.000999000999000999,0
"9","Mt","Shin",-0.00115480176972406,0.000513817812407363,0.666833166833167,0.0741720399846029
"10","Nap","Shin",0.0217932052327037,0.00156098311984203,0.000999000999000999,0
