"","strata.1","strata.2","mean.fst","comparison","p.adj","p.adj.BH"
"1","Jam","Mor",0.00757643980162381,"Jam_Mor",0.0141035435153082,0.0201479193075832
"2","Jam","Mt",0.0068746327714812,"Jam_Mt",0.00799200799200799,0.0133200133200133
"3","Jam","Nap",0.00355504829399947,"Jam_Nap",0.11315215396848,0.141440192460601
"4","Jam","Shin",0.0107986852148315,"Jam_Shin",0.00131447499868553,0.00262894999737105
"5","Mor","Mt",0.0233195121682397,"Mor_Mt",0.000999000999000999,0.0024975024975025
"6","Mor","Nap",0.00134876311236249,"Mor_Nap",0.323918505736688,0.359909450818542
"7","Mor","Shin",0.0247265785454763,"Mor_Shin",0.000999000999000999,0.0024975024975025
"8","Mt","Nap",0.0219235895202678,"Mt_Nap",0.000999000999000999,0.0024975024975025
"9","Mt","Shin",0.000122158348912474,"Mt_Shin",0.820356114473762,0.820356114473762
"10","Nap","Shin",0.0233337928620797,"Nap_Shin",0.000999000999000999,0.0024975024975025
