"","Atl.chi.2","Atl.df","Atl.Pr.chi.2...","Atl.Pr.exact"
"J42",257.841140739756,325,0.997558128933912,0.714
"WF22",994.503688255731,861,0.00103373651935912,0.023
"PAM27",321.890483558588,300,0.184092455502604,0.446
"PAM79",1106.23510139902,1035,0.0610850613965168,0.687
"WF16",377.42483447742,325,0.0238018732657053,0.667
"WF33",701.367765817032,666,0.165869362569137,0.055
"WF3",113.223810265879,171,0.999792407221633,0.35
"WF517",932.828964493032,903,0.238861717472203,0
"WF196",283.784130828605,300,0.741178609972334,0.216
"WF223",574.476596842624,561,0.337601152981529,0.005
"WF421",402.095562413015,378,0.188749818864339,0.622
"A441",102.41591976576,120,0.875374573601023,0.123
"PAM21",148.251802610111,78,2.81002413715647e-06,0.021
"PSY087",52.7300187945744,15,4.27551320658637e-06,0
"PSY022",397.745247373731,105,0,0
"WF12",763.836395543118,21,0,0.007
